condition_label,medical_abstract
digestive system diseases,"Somatostatin prevents acute pancreatitis after pancreatic duct sphincter hydrostatic balloon dilation in patients with idiopathic recurrent pancreatitis. The purpose of this study was to determine whether prophylactic somatostatin infusion can prevent pancreatitis after hydrostatic balloon dilation of the pancreatic duct sphincter segment in 16 patients with idiopathic recurrent pancreatitis. This study demonstrated that prophylactic administration of somatostatin before, during, and after the procedure diminished the incidence and severity of acute pancreatitis. We recommend consideration of such prophylaxis in patients undergoing this procedure. "
digestive system diseases,Chronic anal fissure. A new method of treatment by anoplasty. Chronic anal fissure is a common condition usually treated by maximal anal dilatation or lateral subcutaneous sphincterotomy. The following method is based on a common surgical principal; to widen a stenosed tube a longitudinal incision is made across the stenosed area and this is sutured transversely as in pyloroplasty. This method of anoplasty is simple and appears to have no resultant complications. Further studies are necessary before its value can be established compared to the presently accepted methods of treatment. 
digestive system diseases,"Use of plasmid profiles in the investigation of a patient with Helicobacter pylori infection and peptic ulcer disease. Plasmids may effect bacterial virulence and antibiotic resistance, and serve as epidemiologic markers. In this study, plasmid DNA profiles of serial isolates of Helicobacter pylori showed persistence of an identical strain of this organism in a patient with duodenal ulcer disease. Three control strains of H. pylori isolated from other patients contained plasmids different from each other and from that of the original patient; two of these strains had two plasmids each. These data have important implications for further study of the epidemiology and pathogenesis of H. pylori-related diseases. "
digestive system diseases,"The role of ERCP in children and adolescents. The diagnostic and therapeutic role of ERCP in 42 patients ranging from 1 to 19 years of age is discussed. ERCP provided useful additional information in 15 patients with biliary tract disease, 15 patients with pancreatic disease, and 9 patients with abdominal pain. The appropriate duct was cannulated in 95% of cases. Mild pancreatitis occurred in two patients after ERCP. Endoscopic papillotomy was successful in five patients. ERCP plays an important part in the investigation of unexplained biliary tract and pancreatic disease. It rarely demonstrates abnormal pathology in patients with otherwise unexplained abdominal pain. "
digestive system diseases,"Dyspareunia. Tracing the cause. Difficult or painful sexual intercourse is a sensitive topic for most women. The causes range from inflammation of the vulva and interstitial cystitis to marital discord. To exclude an organic disorder, a detailed pelvic examination with good lighting and magnification is in order. Dr DeWitt describes the technique for meticulous examination and discusses the diagnoses that need to be considered. "
digestive system diseases,"Coeliac disease and malignancy of the duodenum: diagnosis by endoscopy, successful treatment of the malignancy, and response to a gluten free diet. A patient presented with subtotal villous atrophy and a malignant duodenal tumour of uncertain histogenesis. He was successfully treated by resection and chemotherapy and the small bowel mucosa recovered on a gluten free diet. The tumour was diagnosed at upper gastrointestinal endoscopy when barium studies and abdominal computed tomography were normal, thus making this one of the earliest coeliac malignancies diagnosed. "
digestive system diseases,"A field study of the safety and efficacy of two candidate rotavirus vaccines in a Native American population. A double-blind, randomized, placebo-controlled trial was conducted to evaluate the safety and efficacy of a rhesus rotavirus vaccine and RIT 4237, a bovine rotavirus vaccine, in a Navajo population. Infants aged 2-5 months were randomized to receive one dose of either 10(4) pfu of the rhesus rotavirus vaccine or 10(8) pfu of the RIT 4237 vaccine or placebo. Eleven (10.2%) of 108 infants in the rhesus vaccine group, 11 (10.4%) of 106 in the RIT 4237 group, and 9 (8.4%) of 107 in the placebo group experienced rotavirus diarrhea during the follow-up period of 17 months. Thus, in this population, neither vaccine was efficacious in preventing rotavirus diarrhea. "
digestive system diseases,"Polyglucosan body disease. Adult polyglucosan disease has been described in 15 cases. All had signs of peripheral neuropathy, upper motor neuron signs, and 12 of the 15 had sphincter problems. Dementia was prominent in 8 of 15 cases. We reported 2 cases that contained these clinical features. Electrophysiological studies showed axonal neuropathy. Somatosensory evoked potentials on the second patient were abnormal. Sural nerve biopsy showed clusters of polyglucosan bodies. Although the presence of polyglucosan bodies in biopsy is nonspecific, the number as well as the clinical features are necessary to make the diagnosis. Branching enzyme activity in muscle extracts of the muscles were normal. Hence, a specific enzyme abnormality is not yet known. "
digestive system diseases,"Complete jejunoileal necrosis due to torsion of the superior mesenteric artery. We have reported a case of small-bowel volvulus in which complete jejunoileal necrosis resulted from torsion of the superior mesenteric artery. This case was unusual not only because of the extent of necrosis but also because primary small-bowel volvulus is rare in adults. Despite nearly total small-bowel resection, the patient continues to do well 6 months postoperatively. "
digestive system diseases,"Intestinal pseudoobstruction secondary to amyloidosis responsive to cisapride. A case of chronic intestinal pseudoobstruction secondary to systemic amyloidosis in a patient with multiple myeloma is described. Gastrointestinal symptoms and indices of nutrition improved markedly after commencing treatment with cisapride, which may have been responsible for relatively prolonged survival compared with similar reported cases. "
digestive system diseases,"Intestinal obstruction by distension of a Foley jejunostomy catheter. Jejunostomies can be effective in permitting postoperative nutritional support, particularly in the patient with complicated gastrointestinal disease. In the case presented, however, distension of the Foley balloon catheter, used as the jejunostomy tube, led to intestinal obstruction which was not initially detected. Following radiographic identification of the problem, removal of the air from the Foley balloon allowed the patient to complete his convalescence from surgery. The possibility of obstruction from the Foley jejunostomy catheter should be recognized as a potential problem in the postoperative period. "
digestive system diseases,"Duodenal ulcer is associated with low dietary linoleic acid intake. It has been suggested that the falling incidence and virulence of duodenal ulcer is related to increased dietary polyunsaturated essential fatty acid intake. The adipose fatty acid profile, which closely reflects dietary intake, was measured in 35 men with chronic duodenal ulcer and 35 matched control men. The mean percentage of linoleic acid in adipose tissue was significantly lower in the ulcer group (10.0 (0.7) v 12.3 (0.7)%, p less than 0.01) and this difference was found in both smokers and non-smokers. This finding suggests that the diets of duodenal ulcer patients are deficient in linoleic acid and this could be of aetiological importance. "
digestive system diseases,"Drug-induced colonic pseudo-obstruction. Report of a case. Colonic pseudo-obstruction may have many possible causes. Some of these are well described and pose no diagnostic problems. Drug-related colonic pseudo-obstruction remains underreported, but is of importance in modern society where drugs are endemically abused. This case highlights the importance of drugs in altering colonic motility and emphasizes the nonsurgical management of this condition. "
digestive system diseases,Septic Streptococcus milleri spondylodiscitis. We describe 2 patients presenting lumbar spondylitis due to Streptococcus milleri. In both cases origin was related to preexistent intestinal pathology. Surgical drainage of a collection of pus was necessary in one case. Longterm antibiotic therapy led to full recovery. Despite confused nomenclature Streptococcus milleri must be considered a serious pathogen mainly associated with purulent infection with osteoarticular affinity. 
digestive system diseases,"Hepatic cyst associated with Peutz-Jeghers syndrome. A solitary hepatic cyst, associated with Peutz-Jeghers syndrome, is described. To our knowledge, this association has not been previously reported. A developmental anomaly or hamartomatous nature of this lesion is suggested. Knowledge of this association may be helpful in the clinical diagnosis of this benign entity. "
digestive system diseases,"Warner-Lambert/Parke-Davis Award lecture. Pathobiology of the intestinal epithelial barrier. The major route of passive permeation across intestinal epithelia is paracellular. The intercellular tight junction lies in and serves as the rate-limiting barrier in this paracellular pathway. Once viewed as static, it is now clear that the structure and permeability of the tight junction is highly dynamic. Not only may inflammatory events (cytokines, neutrophil transmigration) reversibly effect the tight junction but this key barrier also is regulated by physiologic events such as activation of absorptive cell Na(+)-nutrient cotransporters. Such physiologic regulation of the junction is of major importance to the absorption of nutrients via parcellular solvent drag. "
digestive system diseases,"Gastroesophageal reflux and respiratory symptoms: is there an association? Proposed mechanisms and treatment. Gastroesophageal reflux (GER) is a dysfunction of the distal esophagus causing movement of stomach contents into the esophagus. Patients may develop heartburn, regurgitation, dysphagia, odynophagia, and hemorrhage. Respiratory symptoms occur in 10-60 percent of patients with GER or hiatal hernia. Although there is evidence associating pulmonary symptoms and GER, causality has not been proven. The appropriate use of antireflux therapy or surgery to treat GER may consequently alleviate respiratory symptoms. "
digestive system diseases,"Interventional radiology of the biliary tract. Transcholecystic intervention. Diagnostic and therapeutic biliary intervention by percutaneous access to the gallbladder is an important new area in interventional radiology. The anatomy of the gallbladder, biliary tree, and surrounding viscera is reviewed in this article as a preliminary to discussion of the diagnostic techniques of aspiration, cholangiography, biopsy, and the therapeutic techniques of gallbladder drainage and cholelithotomy. Recently there has been a bewildering proliferation of procedures aimed at removal, fragmentation, and dissolution of gallbladder stones. Several of these are discussed in this article. Removal of common bile duct stones by percutaneous cholecystostomy also is discussed. "
digestive system diseases,Late arterial hemorrhage secondary to a Greenfield filter requiring operative intervention. Retroperitoneal hematomas associated with Greenfield filters have been described and are generally characterized as clinically insignificant. We report a retroperitoneal hematoma that was associated with a Greenfield filter and that required operative intervention because of hemodynamic instability. At operation a lumbar arterial laceration apparently caused by a protruding filter prong was identified and ligated. The implications of this occurrence for filter placement indications are discussed. The potential life-threatening severity of filter-associated hematomas is emphasized. 
digestive system diseases,"Polyarteritis nodosa presenting as a biliary stricture. Polyarteritis nodosa, a disease of the media of small and medium-sized arteries, has protean manifestations and many presenting signs and symptoms. Gastrointestinal involvement is common but involvement of the biliary tree is rare. We report a unique case of polyarteritis presenting as a biliary stricture. "
digestive system diseases,"Pivoting larynx--an unusual clinical observation at laryngoscopy. Rigid oesophagoscopy was planned in the investigation of a young patient with dysphagia. During laryngoscopy for tracheal intubation an unusual pivoting manoeuvre was required to see the vocal cords. Although the initial diagnostic investigations were unhelpful, follow up directed at explaining the clinical observations led to an eventual diagnosis of anterior tubercles of C6, which explained the observation and accounted for the dysphagia. "
digestive system diseases,"Endocrine consequences of alcohol abuse. The recognized endocrine consequences of alcohol abuse are reviewed on an organ by organ basis. The organ systems for which the most information is available (liver, heart, brain) are presented first followed by those where the information base is less. "
digestive system diseases,"The hazards of surgical glove dusting powders. Surgical contaminants of many kinds, including glove powder, constitute a source of formation of granulomas. This is particularly well-documented in the peritoneal cavity (""starch peritonitis""), but has been documented in most anatomic sites. The production of starch-free gloves should remove this hazard, but the surgeon should remain aware that most particulate substances introduced into the body inevitably set up an inflammatory response. "
digestive system diseases,"Nonsteroidal anti-inflammatory gastropathy: from theory to practice. The success of nonsteroidal anti-inflammatory drugs in managing joint inflammation and pain has come at the cost of impressive side effects, particularly in the gastrointestinal tract. This manuscript reviews the magnitude of the problem, the risk factors, and presentation of nonsteroidal gastropathy. It also presents some points in the prevention and management of the disorder. "
digestive system diseases,"Lymphoma of the gastric stump: report of a case. We report a case of primary lymphoma on a previously resected stomach in a 62-year-old man. The patient was treated 22 years earlier with a partial gastrectomy and Billroth II reconstruction for a benign gastric ulcer. The rarity of this entity and its possible relationship with pseudolymphoma or lymphoid nodular hyperplasia is discussed, and the literature is reviewed. "
digestive system diseases,Ischemic colitis in a crack abuser. We report a case of acute colitis temporally associated with smoking crack. Colonoscopy revealed a patchy left-sided hemorrhagic inflammation from the rectosigmoid colon to the splenic flexure. Biopsy specimens were consistent with resolving ischemic colitis. This entity should be considered in the differential diagnosis of acute bloody diarrhea in recreational drug users. 
digestive system diseases,"Oral contraception in disease states. Oral contraceptives are clearly contraindicated in patients with a history of thromboembolic disease, ischemic heart attack, or cerebral stroke. Patients requiring long-term anticoagulant treatment can be treated with gonadotropin-releasing hormone analogs to prevent ovulation, because ruptured follicles can cause massive intraperitoneal bleeding. Patients with essential hypertension and severe liver diseases should also discontinue treatment 4 weeks before major elective surgery. Migraine and diabetes mellitus are regarded as relative contraindications, depending on the individual situation. Long-term diseases, such as Crohn's disease, epilepsy, and sickle cell anemia, also require individualized consultation. "
digestive system diseases,"Malignant potential of juvenile polyposis coli. Report of a case and review of the literature. Juvenile polyps of the colon and rectum traditionally have been viewed as being benign inflammatory or harmartomatous lesions without potential for malignant change. The authors report a case of adenocarcinoma developing in a patient with sporadic juvenile polyposis. Juvenile polyposis was diagnosed in the patient at age 4 years. He underwent subtotal colectomy at age 6 years. At age 12, he underwent a proctectomy and a Swenson pull-through because of adenomatous changes in the rectal stump. At age 19 surveillance endoscopy revealed invasive cancer in a juvenile polyp. "
digestive system diseases,"Hemolytic-uremic syndrome in children. A serious hazard of undercooked beef. Hemolytic-uremic syndrome is the leading cause of acute renal failure in childhood. Its incidence in North America is increasing. Escherichia coli O157:H7 is the most common infectious trigger and is spread by contaminated beef products as well as from person to person. Antibiotics or antidiarrheal medications should not be used in the treatment of E coli hemorrhagic colitis or hemolytic-uremic syndrome. Mortality in children with the syndrome has fallen to less than 10% in North America, largely because of careful attention to nutrition, maintenance of a normal fluid and electrolyte balance, and careful monitoring. Education and emotional support of the family are important aspects of the treatment program. "
digestive system diseases,"Cecal diverticulitis presented as a cecal tumor. Seven patients diagnosed as having acute appendicitis were operated on and a cecal wall mass due to cecal diverticulitis was found. In two patients the mass could not be separated from the cecal wall and right colectomy was performed. In five patients, in whom the mass could be separated from the cecum, conservative operations (three diverticulectomies and two wedge resections) were performed, thus avoiding needless, more extensive surgery. "
digestive system diseases,"A case of severe pancytopenia caused by ibuprofen. We here present the case of a patient with severe neutropenia, haemolytic anaemia and thrombocytopenia associated with long-term use of ibuprofen. The blood parameters rapidly normalized when the drug was discontinued, and no further treatment, except for a short course of antibiotics, was required. "
digestive system diseases,"Umbilical cord ulceration and intestinal atresia: a new association? In three fetuses, congenital intestinal atresia was associated with linear ulcerations of the umbilical cord. In two cases, hemorrhage was seen from the cord ulcer. Both fetuses required emergency cesarean section for fetal distress and were born anemic. The third fetus was mildly hydropic, attributed to hemorrhage, and was stillborn. The mechanism of the association could not be determined. These cases suggest a risk of prenatal umbilical cord hemorrhage in infants with intestinal atresia. "
digestive system diseases,Experimental reduction of portal hypertension by mechanical increase of liver portal flow Studies on the isolated perfused rat liver demonstrated that an increase in portal pressure is associated with an increase in the portal blood flow in normal and in cirrhotic livers. In two pigs with portal hypertension mesenteric portal pressure was lowered by mechanically increasing the liver portal blood flow by means of a balloon pump around the portal vein. 
digestive system diseases,"Gynecomastia. A bothersome but readily treatable problem. Although breast enlargement in boys and men can cause both psychological and physical distress, the disorder is rarely serious and is readily treatable. Several factors can lead to the estrogenic excess that causes growth of breast tissue. Dr Jacobs describes a patient with gynecomastia related to cirrhosis of the liver who responded promptly to a brief course of tamoxifen citrate therapy. "
digestive system diseases,"Intracorporeal biliary lithotripsy. Most bile duct calculi can be removed with standard percutaneous or endoscopic techniques. Very large stones are the most common cause for failure. Intracorporeal lithotripsy, and EHL in particular, can be used safely in either the biliary tree or gallbladder to fragment these large stones and allow percutaneous removal or passage. Intracorporeal EHL requires direct vision to prevent damage to the bile duct mucosa. Intracorporeal laser lithotripsy may offer some safety advantages, but the laser requires much more expensive equipment than intracorporeal EHL. Additional studies are needed to determine the technique that is better in each circumstance. "
digestive system diseases,"Pathogenesis and treatment of intra-abdominal infection. Intra-abdominal infection is considered potentially life-threatening. Such infection is frequently secondary to perforated viscera, trauma or inflammatory disease. Simple abscesses may be drained percutaneously with roentgenologic guidance; complex abscesses often require open surgical drainage. Secondary peritonitis is usually polymicrobial; broad-spectrum antimicrobial therapy effective against aerobic and anaerobic gram-negative bacteria, as well as gram-positive organisms, is essential. Newer antibiotics, administered either singly or in combination, have been used successfully to treat intra-abdominal infection while avoiding the toxicity of aminoglycosides. "
digestive system diseases,"Pregnancy-induced hypertension and acute fatty liver of pregnancy: atypical presentations. Severe pregnancy-induced hypertension and markedly elevated levels of serum alkaline phosphatase developed in a 29-year-old-woman in whom one pregnancy resulted in intrauterine death. Acute fatty liver of pregnancy developed with good fetal outcome in the next pregnancy. This case suggests that pregnancy-induced hypertension and acute fatty liver of pregnancy are part of a clinical spectrum. Moreover, classic abnormalities of liver function tests need not be present in acute fatty liver of pregnancy. "
digestive system diseases,"Inflammatory pseudotumor of the liver. Inflammatory pseudotumor of the liver is an extremely rare entity. Because of its unusual clinical presentation and confusing histologic picture, a diagnosis of malignancy is frequently made. Thus the surgeon is closely involved with the case and extensive procedures are not uncommon. However, this lesion is benign and will even regress spontaneously, making radical surgical procedures contraindicated. The difficulty lies in establishing an accurate diagnosis and the histologic pitfalls of this particular process. Conservative therapy can then be applied, avoiding surgical morbidity. "
digestive system diseases,"Gastric emptying in infants and children: limited utility of 1-hour measurement. Gastric emptying measurements were performed in infants and children at 1 and 2 hours after a liquid feeding. The 1-hour measurements were predictive of only 58% of the variability in the 2-hour measurements, indicating that the 1-hour measurement was not a good predictor of the 2-hour measurement. Gastric emptying measurements in children should be continued until 2 hours after feeding unless rapid emptying is observed during the 1st hour of the study. "
digestive system diseases,"Hepatocyte transplantation into the lung for treatment of acute hepatic failure in the rat. The lung was investigated as a matrix for transplanted hepatocytes in the rat model. Surgically induced fulminant hepatic failure was successfully treated by injection of 5 to 7 x 10(7) isolated hepatocytes into the pulmonary parenchyma in 86% of the animals. No animal, however, survived injection of hepatocytes into the jugular vein. It was found that liver failure is a prerequisite for the intrapulmonary survival of hepatocytes. After regeneration of the native liver, the majority of hepatocytes are cleared away within 6 months. "
digestive system diseases,"A tongue force measurement system for the assessment of oral-phase swallowing disorders. A computer-aided measuring system using a highly sensitive beam transducer has been developed to provide a quantitative, reliable measure of tongue strength. This tool has application in both the diagnosis and treatment of dysphagic patients with oral-stage dysfunction. The device is customized to comfortably adapt to each individual. Audiovisual feedback is used to enhance subject interest and motivation. The device has proven reliable in measurements of upward and side tongue thrust in six able-bodied subjects measured during five separate sessions. It has also been used with two dysphagic patients. "
digestive system diseases,"Spinal epidural abscess: an unusual complication of a duodenal ulcer. A 50-year-old man had several months of progressively worse low-back pain associated with constitutional symptoms and a history of retroperitoneal tumor and bleeding duodenal ulcer. Initial evaluation suggested a lumbar spine tumor, but myelography confirmed the presence of an epidural abscess. Further evaluation revealed a duodeno-spinal fistula at the site of the previous duodenal ulcer, which proved to be the cause of the abscess. "
digestive system diseases,"Crohn's disease of the lung Two years after developing colonic Crohn's disease, a 17 year old boy presented with focal pulmonary consolidation. A lung biopsy specimen showed areas of non-caseating epithelioid granuloma. Although some respiratory abnormalities appear to be associated with inflammatory bowel disease, granulomatous disease affecting the lung has not previously been reported in a child. "
digestive system diseases,"Cytomegalovirus colitis and wasting. Disseminated cytomegalovirus (CMV) infection is associated with significant and progressive depletion of body cell mass and body fat in patients with the acquired immune deficiency syndrome (AIDS). In a study examining the effect of ganciclovir on wasting in AIDS patients with disseminated CMV infection, it was found that patients receiving ganciclovir had significant improvement in such variables as body cell mass, body fat, body weight, and total body energy content when compared with those not receiving ganciclovir. The repletion of body cell mass observed in AIDS patients with disseminated CMV infection who are successfully treated with ganciclovir appears to be associated with improved quality of life and prolongation of survival. "
digestive system diseases,"Nonoperative management of bile duct stones. The treatment of choice for most retained bile duct stones is by nonoperative means. If a T-tube is in place, percutaneous techniques via the T-tract are indicated. Percutaneous access via puncture of a Roux-en-Y loop is also practical. In the absence of a T-tube, retrograde endoscopic techniques should be used. Both techniques are very effective and safe. Stones in the intrahepatic and extrahepatic ducts also can be treated nonoperatively. Endoscopic sphincterotomy has a role in the treatment of selected patients with gallstone pancreatitis, acute cholangitis, and choledocholithiasis with in situ gallbladders. In difficult cases, endoscopic and percutaneous techniques are employed in combination. "
digestive system diseases,"Adenocarcinoma of the appendiceal stump. We have reported the case of a 58-year-old woman with nonspecific abdominal complaints in whom barium enema and subsequent colonoscopy showed a 3 cm lobulated adenocarcinoma within a villous adenoma arising from the appendiceal stump. Because such appendiceal malignancies have no specific clinical signs, symptoms, or radiologic features, preoperative diagnosis is extremely difficult, and colonoscopy may be required to clarify radiologically demonstrated irregularities. "
digestive system diseases,"Skeletal scintigraphy in coeliac disease. A patient with undiagnosed, long-standing coeliac disease had multiple hot spots on skeletal scintigraphy, similar to those observed in malignant disease metastatic to the skeleton. A gluten-free diet corrected the pathological laboratory values, and a repeat skeletal scintigram 15 months after the first one was normal. It is important to identify the secondary hyperparathyroidism of coeliac disease as a cause of multiple hot spots in skeletal scintigraphy--the finding resembles malignancy, but is due to a benign, curable condition. "
digestive system diseases,"Repeat operation for failure of antireflux procedures. The majority of patients who receive modern antireflux operations obtain substantial long-term relief of their symptoms. About 10% to 15% will have persistent or recurrent problems, some severe enough to warrant reoperation for correction. With careful symptom review, barium study, endoscopy, and manometry, the mechanism of failure becomes evident, and remedial surgical treatment may proceed. The results at reoperation are not as good as those of the primary procedure, which emphasizes the need for proper diagnosis and choice of procedure and for reliable execution of technique at the initial treatment. "
digestive system diseases,Microbiological studies of the enterocolitis of Hirschsprung's disease. The results of a prospective study of 20 cases of newly diagnosed Hirschsprung's disease (nine of whom developed enterocolitis) and 10 normal controls showed no variations in the bacterial flora (including Clostridium difficile) in the stools of the groups studied. Viral studies showed that rotavirus was present in the stools of seven of the nine cases of enterocolitis during the episode. We suggest that Hirschsprung's enterocolitis may have a complex infective aetiology and that rotavirus plays a part. 
digestive system diseases,Treatment of severe acne with isotretinoin in patients with inflammatory bowel disease. Four patients with inflammatory bowel disease and severe cystic acne were treated with isotretinoin. Two patients had a successful course of treatment without any gastrointestinal side-effects. One patient had two episodes of profuse rectal bleeding that were probably related to pre-existing haemorrhoids. The fourth patient had a flare-up of his Crohn's disease after starting isotretinoin. 
digestive system diseases,Aggravation of myasthenia gravis by erythromycin. Erythromycin is not currently recognized as causing clinical aggravation of myasthenia gravis. We report the case of a patient who experienced exacerbations of myasthenia gravis subsequent to each of several doses of intravenous erythromycin. We suggest that erythromycin can cause clinical worsening in patients with disease of the neuromuscular junction. 
digestive system diseases,"Further notes on Munchausen's syndrome: a case report of a change from acute abdominal to neurological type. A rare case of Munchausen's syndrome beginning in early childhood is described. The diagnosis of Munchausen's syndrome was made at the age of 29 years, after the symptoms had changed from acute abdominal to neurological complaints, with feigned loss of consciousness, first ascribed to an encephalitis. Insight into the psychopathology of this patient is given by his biography, by assessment of a psychotherapist, who had treated him some years before, and by his observed profile in some psychological tests. "
digestive system diseases,Hepatic portal venous gas: an unusual presentation of Crohn's disease. Hepatic portal venous gas is associated with numerous conditions and traditionally has been regarded as an ominous prognostic sign. There are several reports of hepatic portal venous gas occurring in patients with inflammatory bowel disease after or during the performance of colonic diagnostic studies. We report an unusual case of Crohn's disease whose initial presentation included hepatic portal venous gas. The literature of hepatic portal venous gas associated with inflammatory bowel disease is reviewed. 
digestive system diseases,"Isolated ventral pancreatitis in a patient with pancreas divisum. A previously healthy 22-yr-old woman was found to have chronic pancreatitis restricted to the ventral pancreas in association with pancreas divisum. When conservative treatment failed, sphincteroplasty of both papillae was performed with good results. This well-documented case represents a clear exception to the commonly held concept that obstruction of the dorsal duct is the essential pathogenic factor in the development of pancreatitis associated with pancreas divisum. The importance of visualizing both the dorsal and ventral pancreatic ducts to direct therapy for patients with idiopathic pancreatitis is discussed. Theories of the pathogenesis of concomitant pancreatitis and pancreas divisum are reviewed. "
digestive system diseases,"Reoperation for recurrent peptic ulcer disease. The patient with recurrent peptic ulcer evidences failure of an initial operation to control the ulcer diathesis. A trial of aggressive medical therapy is warranted in elective presentations and has a moderate chance of success. Failing this, we believe that reoperation should be tailored to the patient's physiologic status and previous operation (Table 5). Nevertheless, in most cases, we believe that the second operation should be the final operation and should consist of the procedure with the lowest recurrence rates. Therefore, we believe that the assurance of an adequate antrectomy and complete vagal section is the preferred procedure for most patients with recurrent peptic ulcer. "
digestive system diseases,"Achieving pH control in the critically ill patient: the role of continuous infusion of H2-receptor antagonists. Stress-related gastric mucosal damage is a common occurrence in intensive care unit (ICU) patients. Because of the significant morbidity and mortality associated with this mucosal damage, many ICU patients routinely receive prophylactic therapy, usually with histamine H2-receptor antagonists (H2RAs). Gastric acid secretion occurs in a circadian pattern, with late afternoon and evening surges. H2RAs by continuous infusion may control this uneven pattern of secretion more effectively than H2RAs given by bolus injection. More studies are needed to identify the target ICU population for prophylactic treatment. "
digestive system diseases,"Clinical experience with biliary extracorporeal shock wave lithotripsy. Biliary lithotripsy is a new and important development in the nonsurgical management of gallbladder, cystic duct, and bile duct stones. Most patients do not require general or epidural anesthesia with newer second-generation machines. Patient selection and the use of adjuvant therapy to aid fragment clearance are important issues that are discussed. Results from different centers are compared but few long-term results are yet available, i.e., longer than 18 months. "
digestive system diseases,"Endoscopic sclerotherapy in extrahepatic portal hypertension in pregnancy. Extrahepatic portal hypertension usually occurs during childhood, but a substantial number of patients may reach adult life. There is a general agreement that pregnancy may become hazardous to these patients, and some authors even consider this condition as a contraindication to conceiving. A case of endoscopic sclerotherapy in such a patient is herein presented, and the approach to such patients is discussed. "
digestive system diseases,"Rupture of the oesophagus during cricoid pressure Rupture of the oesophagus occurred during the application of cricoid pressure at induction of anaesthesia when the patient vomited. The patient, who was bleeding from a gastric ulcer, was found to have a lower oesophageal tear which, although repaired at operation, resulted in a fatal mediastinitis. "
digestive system diseases,"Ogilvie's syndrome. Would you recognize it? Numerous conditions predispose to Ogilvie's syndrome, a process that mimics bowel obstruction. Characteristic radiographic findings of acute pseudo-obstruction include dilatation of the cecum and the remainder of the colon but not the small intestine. Treatment is individualized. Massive cecal dilatation carries the risk of cecal perforation and its attendant high mortality rate. Conservative therapies, such as nasogastric suction, gentle enemas, and use of a rectal tube, may be beneficial. Decompression by colonoscopy or other means may be necessary. "
digestive system diseases,"Parietal cell vagotomy and dilatation for peptic duodenal stricture. Gastric outlet obstruction due to peptic duodenal stricture (pyloric stenosis) was treated with parietal cell vagotomy and dilatation of the stricture in 32 patients. Follow-up is in the range of 5 years in 37.4% of the patients, while 6 to 10 years follow-up is available in 62.4% of the patients. At their last follow-up, 74.9% of the patients were in either Visick 1 or 2 clinical status. Recurrence rates have been 3.1% at 1 year, 9.3% at 5 years, and 21.8% after 6 to 10 years follow-up. There has been only one instance (3.1%) of restenosis. Two patients required reoperation because of recurrence and one of them died. "
digestive system diseases,"Possible transmission of serum hepatitis in liver surgery with the ultrasonic dissector. When the ultrasonic dissector is used during liver surgery, the possibility exists of the transmission of virus to the attending hospital personnel because of unavoidable splashing of the irrigating solution. It becomes apparent from this study that the titer of hepatitis B surface antigen in the aspirated irrigating solution is almost the same level as that in the serum. We therefore strongly recommend that eye shields should be used in hepatic surgery when the ultrasonic dissector is in use. "
digestive system diseases,"Giardiasis [published erratum appears in Prim Care 1991 Jun;18(2):following xii] Giardiasis represents a major protozoan infection for the 1990s. This article reviews this organism for the primary care physician, discussing the characteristics, clinical manifestations, diagnosis, and treatment. Prevention and patient education needs are also presented. "
digestive system diseases,"Colonoscopic fine needle aspiration cytology in the diagnosis of ileocecal tuberculosis. Two cases of ileocecal tuberculosis are presented. The diagnosis was achieved by endoscopic fine needle aspiration cytology (FNAC), while endoscopic biopsies and brush cytology were negative. The usefulness of endoscopic FNAC in the diagnosis of gastrointestinal tract tuberculosis is highlighted. "
digestive system diseases,"Mechanical lithotripsy of common duct stones. Over the past 8 years we have utilized various types of mechanical lithotriptors to crush common bile duct stones. The procedure was performed in 93 patients with an overall success rate of 94%. However, because many accessories were in a developmental stage, entrapment of stones was not always possible on the first attempt, and the procedure was repeated in some patients a second or third time. During the interim, while awaiting another attempt at lithotripsy, cholangitis was prevented by leaving a prosthesis in place. A variety of lithotriptor models from different manufacturers have proven effective. We recommend that endoscopists use these devices to rid the bile duct of retained stones. "
digestive system diseases,Successful control of bleeding from gastric antral vascular ectasia (watermelon stomach) by laser photocoagulation. We report a case of gastric antral vascular ectasia in a patient with primary biliary cirrhosis in whom chronic blood loss was a major problem. She required repeated blood transfusions that were complicated by reactions and still had persistent anaemia. She was treated with laser phototherapy in the form of quadrantic photocoagulation with a neodynium yttrium-aluminium-garnet laser. This greatly improved the endoscopic appearance of the gastric lesions and effectively controlled blood loss. She required no further transfusions. Bleeding recurred after 11 months which was controlled by further laser photocoagulation. 
digestive system diseases,"Managing dysphagia. Special problems in patients with neurologic disease. Swallowing is a brief but intricate process. When this process is interrupted, as in patients with neurologic disorders, problems such as aspiration and risk of malnutrition can occur. The authors of this article discuss an individualized approach to evaluation and management of neurogenic oropharyngeal dysphagia. Three cases illustrate the diversity of causes, signs and symptoms, and clinical course. "
digestive system diseases,"Jejunal-rectal fistula as a complication of postoperative radiotherapy. We present the case of a patient with an unusual, complex enteric fistula with multiple tracts and associated abscesses. The fistula was a late complication of radiotherapy, administered three years earlier, after resection for carcinoma of the sigmoid colon. Most of the small bowel was involved in the radiation-induced disease. A wide resection was performed successfully. This report reviews current literature on intra-abdominal postradiotherapy injuries, particularly intestinal fistulae. "
